FOTOMETRÍA ABSOLUTA

ESTRELLAS DE CALIBRADO:
   C1: 13.744
   C2: 13.729
   C3: 13.58

V494 MON                            13.686
FECHA J GEO           MAG      +/-         MAG      +/-
----------------------------------  -------------------
2459233.50782      11.368    0.006      13.692    0.019
2459233.50858      11.394    0.006      13.751    0.019
2459233.50932      11.374    0.006      13.682    0.019
2459233.51007      11.367    0.006      13.670    0.019
2459233.51081      11.354    0.006      13.711    0.019
2459233.51156      11.384    0.006      13.721    0.019
2459233.51230      11.381    0.006      13.742    0.019
2459233.51306      11.387    0.006      13.719    0.019
2459233.51381      11.400    0.006      13.694    0.019
2459233.51455      11.421    0.007      13.668    0.018
2459233.51530      11.414    0.007      13.776    0.019
2459233.51604      11.430    0.007      13.793    0.019
2459233.51679      11.446    0.007      13.774    0.019
2459233.51753      11.340    0.007      13.707    0.019
2459233.51829      11.430    0.007      13.756    0.019
2459233.51903      11.420    0.007      13.727    0.019
2459233.51978      11.454    0.007      13.769    0.019
2459233.52052      11.454    0.007      13.752    0.019
2459233.52127      11.451    0.007      13.684    0.019
2459233.52203      11.435    0.007      13.725    0.019
2459233.52277      11.431    0.007      13.722    0.019
2459233.52352      11.483    0.007      13.684    0.018
2459233.52426      11.475    0.007      13.739    0.019
2459233.52501      11.463    0.007      13.649    0.018
2459233.52575      11.505    0.007      13.775    0.019
2459233.52650      11.499    0.007      13.740    0.019
2459233.52725      11.502    0.007      13.708    0.019
2459233.52800      11.520    0.007      13.762    0.019
2459233.52875      11.520    0.007      13.778    0.019
2459233.52949      11.521    0.007      13.754    0.019
2459233.53024      11.495    0.007      13.783    0.019
2459233.53098      11.527    0.007      13.737    0.019
2459233.53174      11.547    0.007      13.703    0.018
2459233.53248      11.510    0.007      13.665    0.018
2459233.53323      11.518    0.007      13.734    0.019
2459233.53397      11.554    0.007      13.759    0.019
2459233.53472      11.562    0.007      13.718    0.019
2459233.53547      11.554    0.007      13.755    0.019
2459233.53622      11.557    0.007      13.707    0.018
2459233.53697      11.534    0.007      13.707    0.019
2459233.53771      11.535    0.007      13.634    0.018
2459233.53846      11.569    0.007      13.764    0.019
2459233.53920      11.593    0.007      13.724    0.018
2459233.53995      11.579    0.007      13.699    0.018
2459233.54069      11.596    0.007      13.726    0.019
2459233.54145      11.591    0.007      13.737    0.019
2459233.54219      11.605    0.007      13.743    0.019
2459233.54294      11.612    0.007      13.716    0.019
2459233.54368      11.620    0.007      13.745    0.019
2459233.54443      11.584    0.007      13.708    0.019
2459233.54519      11.614    0.007      13.720    0.019
2459233.54593      11.633    0.007      13.700    0.018
2459233.54668      11.622    0.007      13.653    0.018
2459233.54742      11.643    0.007      13.693    0.018
2459233.54817      11.681    0.007      13.780    0.019
2459233.54891      11.668    0.007      13.733    0.019
2459233.54966      11.674    0.007      13.738    0.019
2459233.55041      11.639    0.007      13.682    0.018
2459233.55116      11.633    0.007      13.684    0.019
2459233.55190      11.686    0.007      13.740    0.019
2459233.55265      11.666    0.007      13.679    0.018
2459233.55339      11.672    0.007      13.710    0.019
2459233.55414      11.690    0.007      13.719    0.019
2459233.55488      11.714    0.007      13.714    0.018
2459233.55564      11.693    0.007      13.743    0.019
2459233.55638      11.714    0.007      13.706    0.018
2459233.55713      11.719    0.007      13.738    0.019
2459233.55787      11.712    0.007      13.662    0.018
2459233.55862      11.742    0.007      13.759    0.019
