FOTOMETR�A ABSOLUTA

ESTRELLAS DE CALIBRADO:
   C1: 13.744
   C2: 13.729
   C3: 13.58

V494 MON�                           13.686
FECHA J HELIO         MAG      +/-         MAG      +/-
----------------------------------  -------------------
2459233.51268      11.368    0.006      13.692    0.019
2459233.51344      11.394    0.006      13.751    0.019
2459233.51418      11.374    0.006      13.682    0.019
2459233.51493      11.367    0.006      13.670    0.019
2459233.51567      11.354    0.006      13.711    0.019
2459233.51642      11.384    0.006      13.721    0.019
2459233.51716      11.381    0.006      13.742    0.019
2459233.51792      11.387    0.006      13.719    0.019
2459233.51867      11.400    0.006      13.694    0.019
2459233.51941      11.421    0.007      13.668    0.018
2459233.52016      11.414    0.007      13.776    0.019
2459233.52090      11.430    0.007      13.793    0.019
2459233.52165      11.446    0.007      13.774    0.019
2459233.52239      11.340    0.007      13.707    0.019
2459233.52315      11.430    0.007      13.756    0.019
2459233.52389      11.420    0.007      13.727    0.019
2459233.52464      11.454    0.007      13.769    0.019
2459233.52538      11.454    0.007      13.752    0.019
2459233.52613      11.451    0.007      13.684    0.019
2459233.52689      11.435    0.007      13.725    0.019
2459233.52763      11.431    0.007      13.722    0.019
2459233.52838      11.483    0.007      13.684    0.018
2459233.52912      11.475    0.007      13.739    0.019
2459233.52987      11.463    0.007      13.649    0.018
2459233.53061      11.505    0.007      13.775    0.019
2459233.53136      11.499    0.007      13.740    0.019
2459233.53211      11.502    0.007      13.708    0.019
2459233.53286      11.520    0.007      13.762    0.019
2459233.53361      11.520    0.007      13.778    0.019
2459233.53435      11.521    0.007      13.754    0.019
2459233.53510      11.495    0.007      13.783    0.019
2459233.53584      11.527    0.007      13.737    0.019
2459233.53660      11.547    0.007      13.703    0.018
2459233.53734      11.510    0.007      13.665    0.018
2459233.53809      11.518    0.007      13.734    0.019
2459233.53883      11.554    0.007      13.759    0.019
2459233.53958      11.562    0.007      13.718    0.019
2459233.54033      11.554    0.007      13.755    0.019
2459233.54108      11.557    0.007      13.707    0.018
2459233.54183      11.534    0.007      13.707    0.019
2459233.54257      11.535    0.007      13.634    0.018
2459233.54332      11.569    0.007      13.764    0.019
2459233.54406      11.593    0.007      13.724    0.018
2459233.54481      11.579    0.007      13.699    0.018
2459233.54555      11.596    0.007      13.726    0.019
2459233.54631      11.591    0.007      13.737    0.019
2459233.54705      11.605    0.007      13.743    0.019
2459233.54780      11.612    0.007      13.716    0.019
2459233.54854      11.620    0.007      13.745    0.019
2459233.54929      11.584    0.007      13.708    0.019
2459233.55005      11.614    0.007      13.720    0.019
2459233.55079      11.633    0.007      13.700    0.018
2459233.55154      11.622    0.007      13.653    0.018
2459233.55228      11.643    0.007      13.693    0.018
2459233.55303      11.681    0.007      13.780    0.019
2459233.55377      11.668    0.007      13.733    0.019
2459233.55452      11.674    0.007      13.738    0.019
2459233.55527      11.639    0.007      13.682    0.018
2459233.55602      11.633    0.007      13.684    0.019
2459233.55676      11.686    0.007      13.740    0.019
2459233.55751      11.666    0.007      13.679    0.018
2459233.55825      11.672    0.007      13.710    0.019
2459233.55900      11.690    0.007      13.719    0.019
2459233.55974      11.714    0.007      13.714    0.018
2459233.56050      11.693    0.007      13.743    0.019
2459233.56124      11.714    0.007      13.706    0.018
2459233.56199      11.719    0.007      13.738    0.019
2459233.56273      11.712    0.007      13.662    0.018
2459233.56348      11.742    0.007      13.759    0.019
2459233.56423      11.739    0.007      13.630    0.018
2459233.56498      11.795    0.008      13.727    0.018
2459233.56573      11.752    0.008      13.701    0.018
2459233.56910      11.776    0.008      13.731    0.019
2459233.56985      11.770    0.008      13.694    0.018
2459233.57059      11.785    0.008      13.763    0.019
2459233.57434      11.796    0.008      13.680    0.018
2459233.57508      11.809    0.008      13.703    0.018
2459233.57583      11.824    0.008      13.754    0.019
2459233.57657      11.827    0.008      13.687    0.018
2459233.57733      11.832    0.008      13.765    0.019
2459233.57807      11.850    0.008      13.732    0.019
2459233.57882      11.819    0.008      13.677    0.018
2459233.57956      11.813    0.008      13.654    0.018
2459233.58031      11.842    0.008      13.747    0.019
2459233.58105      11.810    0.008      13.697    0.019
2459233.58180      11.823    0.008      13.735    0.019
2459233.58255      11.843    0.008      13.672    0.018
2459233.58330      11.878    0.008      13.674    0.018
2459233.58404      11.841    0.008      13.657    0.018
2459233.58479      11.841    0.008      13.669    0.018
2459233.58553      11.882    0.008      13.718    0.018
2459233.58628      11.815    0.008      13.631    0.018
2459233.58702      11.888    0.008      13.708    0.018
2459233.58778      11.878    0.008      13.690    0.018
2459233.58852      11.853    0.008      13.685    0.018
2459233.58927      11.858    0.008      13.709    0.018
2459233.59001      11.842    0.008      13.714    0.019
2459233.59076      11.869    0.008      13.755    0.019
2459233.59150      11.880    0.008      13.745    0.019
2459233.59226      11.867    0.008      13.712    0.018
2459233.59300      11.852    0.008      13.737    0.019
2459233.59375      11.889    0.008      13.791    0.019
2459233.59449      11.866    0.008      13.728    0.019
2459233.59524      11.853    0.008      13.713    0.019
2459233.59598      11.857    0.008      13.682    0.018
2459233.59673      11.834    0.008      13.721    0.019
2459233.59748      11.846    0.008      13.716    0.019
2459233.59823      11.826    0.008      13.705    0.019
2459233.59897      11.816    0.008      13.662    0.018
2459233.59972      11.848    0.008      13.713    0.019
2459233.60046      11.852    0.008      13.722    0.019
2459233.60121      11.815    0.008      13.723    0.019
2459233.60195      11.804    0.008      13.777    0.019
2459233.60271      11.841    0.008      13.751    0.019
2459233.60345      11.806    0.008      13.687    0.018
2459233.60419      11.802    0.008      13.716    0.019
2459233.60494      11.773    0.008      13.697    0.019
2459233.60568      11.806    0.008      13.702    0.018
2459233.60643      11.798    0.008      13.729    0.019
2459233.60717      11.784    0.008      13.742    0.019
2459233.60793      11.800    0.008      13.666    0.018
2459233.60867      11.789    0.008      13.771    0.019
2459233.60942      11.812    0.008      13.746    0.019
2459233.61016      11.774    0.008      13.727    0.019
2459233.61091      11.760    0.008      13.688    0.018
2459233.61165      11.760    0.008      13.757    0.019
2459233.61241      11.755    0.008      13.680    0.018
2459233.61315      11.736    0.008      13.702    0.018
2459233.61390      11.754    0.008      13.703    0.018
2459233.61464      11.714    0.007      13.709    0.019
2459233.61539      11.727    0.008      13.695    0.018
2459233.61613      11.708    0.007      13.678    0.018
2459233.61689      11.702    0.007      13.725    0.019
